what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620395030885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620395033994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398427439
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620398428751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398430579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398443951
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620398443966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398449356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398451683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398454667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398455011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398455635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398457947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398461400
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1620398472319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398474553
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620398474959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398475303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398478708
error,log,,,"Unable to validate connection settings.",1620398484207
error,log,,,"Unable to validate connection settings.",1620398484207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398484269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398489893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398493736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398496657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398503374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398503515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398507327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398507467
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620398507483
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620398511029
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620398511357
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620398517924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398560617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398910539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398910664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398911695
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1620398911805
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620398911898
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1620398912148
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1620398912148
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1620398912148
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1620398913164
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1620398913164
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1620398913164
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1620398913164
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1620398913164
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1620398913164
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1620398913164
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1620398913164
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1620398913164
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1620398913164
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1620398913164
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1620398913164
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1620400416978
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1620400416978
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1620400416978
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1620400416978
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1620400416978
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1620400416978
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1620400416978
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1620400416978
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1620400416978
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1620400416978
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1620400416978
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1620400416978
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1620400416978
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1620400416978
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1620400416978
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1620400416978
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1620400416978
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1620400416978
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1620400416978
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1620400416978
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1620400416978
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1620400416978
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1620400416978
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1620400416978
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1620400416978
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1620400416978
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1620400416978
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1620400416978
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1620400416978
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1620400416978
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1620400416978
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1620400416993
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1620400416993
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1620400416993
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1620400416993
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1620400416993
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1620400416993
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1620400416993
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1620400416993
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1620400416993
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1620400416993
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1620400416993
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1620400416993
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1620400416993
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1620400416993
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1620400416993
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1620400416993
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1620400416993
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1620400416993
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1620400416993
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1620400416993
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1620400416993
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1620400416993
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1620400416993
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1620400416993
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1620400416993
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1620400416993
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1620400416993
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1620400416993
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1620400416993
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1620400416993
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1620400416993
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1620400416993
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1620400416993
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1620400416993
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1620400416993
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1620400416993
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1620400416993
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1620400416993
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1620400417009
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1620400417009
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1620400417009
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1620400417009
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1620400417009
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1620400417009
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1620400417009
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1620400417009
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1620400417009
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1620400417009
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1620400417009
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1620400417009
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1620400417009
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1620400417009
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1620400417009
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1620400417009
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1620400417009
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1620400417009
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1620400417009
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1620400417009
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1620400417009
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1620400417009
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1620400417009
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1620400417009
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1620400417009
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1620400417009
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1620400417009
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1620400417009
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1620400417009
os,sysinfo,,,"win32",1620400417009
arch,sysinfo,,,"x86",1620400417009
ws,sysinfo,,,"win32",1620400417009
locale,sysinfo,,,"zh_CN",1620400417009
processors,sysinfo,,,"4",1620400417009
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1620400417009
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1620400417009
java.specification.name,sysinfo,,,"Java Platform API Specification",1620400417009
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1620400417009
java.specification.version,sysinfo,,,"1.6",1620400417009
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1620400417009
java.version,sysinfo,,,"1.6.0_23",1620400417009
java.vm.info,sysinfo,,,"mixed mode",1620400417009
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1620400417009
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1620400417009
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1620400417009
java.vm.specification.version,sysinfo,,,"1.0",1620400417009
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1620400417009
java.vm.version,sysinfo,,,"19.0-b09",1620400417009
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1620400417212
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620400418993
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1620400419180
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1620400420758
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1620400420774
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1620400420789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400421820
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620400421883
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620400425912
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1620400425912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400427005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400428755
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620400429989
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1620400430426
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1620400430426
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1620400430426
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1620400430426
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1620400430442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400441643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400445314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400659924
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620400661658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400662907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400693354
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620400693354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400698540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400701305
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620400701633
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620400704992
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620400705273
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620400711974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620400755245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401064219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401066702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401070530
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620401071608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401075091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401077856
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620401078215
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620401081543
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620401081808
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620401088265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401120241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401641596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401645751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401649172
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620401650500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401653671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401656498
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620401656842
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620401660185
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620401660451
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1620401666886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620401684944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402020030
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402059177
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402059395
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402059489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1620402068268
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620402069565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620402091263
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1620402103369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402104666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1620402111367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620402112195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402113851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620402119428
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620402120834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402123333
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620402129207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620402130894
